Name,Year,Team,Salary,Prev_Salary,is_rookie,FA,Birth,Age,Position,WAR,G,oWAR,dWAR,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+
°­¹Î±¹,2018,NC,2700,2700,X,X,1992,26,3B,-0.06,6,-0.06,0,4,4,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0.25,0.5,0.019,13
°­¹Î±¹,2016,NC,2700,2700,X,X,1992,24,3B,-0.41,24,-0.23,-0.19,26,25,23,2,3,1,0,1,7,1,0,0,2,0,0,9,1,1,0,0.13,0.2,0.304,0.504,0.012,8.6
°­¹Î±¹,2015,NC,2700,2700,X,X,1992,23,3B,-0.09,1,-0.05,-0.04,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.186,-128.9
°­¹Î±¹,2014,NC,2700,2400,X,X,1992,22,3B,-0.15,6,-0.06,-0.1,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.196,-132.2
°­¹Î¼º,2023,KT,3600,3300,X,X,1999,24,3B,0.18,12,0.01,0.17,27,26,22,2,4,1,0,0,5,0,0,0,4,0,0,10,0,1,0,0.182,0.308,0.227,0.535,0.069,56.4
°­¹ÎÈ£,2023,SAMSUNG,40000,60000,X,O,1985,38,C,3.3,125,3.6,-0.3,495,492,434,60,126,19,0,16,193,77,6,1,49,6,4,65,17,1,5,0.29,0.366,0.445,0.811,0.149,123.5
°­¹ÎÈ£,2022,SAMSUNG,60000,60000,X,O,1985,37,C,1.81,130,1.86,-0.04,444,441,396,38,102,19,1,13,162,66,0,0,41,3,4,58,21,1,3,0.258,0.33,0.409,0.739,0.122,102
°­¹ÎÈ£,2021,SAMSUNG,60000,50000,X,O,1985,36,C,3.94,123,3.91,0.03,462,460,406,55,118,22,0,18,194,67,0,0,45,4,4,53,18,0,7,0.291,0.361,0.478,0.839,0.156,122.4
°­¹ÎÈ£,2020,SAMSUNG,50000,125000,X,O,1985,35,C,2.58,119,2.38,0.2,393,392,355,46,102,14,0,19,173,61,0,0,31,4,2,54,17,0,3,0.287,0.349,0.487,0.836,0.148,106.8
°­¹ÎÈ£,2019,SAMSUNG,125000,125000,X,O,1985,34,C,2.06,112,1.83,0.23,393,390,346,36,81,20,0,13,140,45,0,0,33,9,2,76,9,2,3,0.234,0.315,0.405,0.72,0.114,91.6
