,Name,FA,Team,Year,Birth,Age,Position,WAR,G,oWAR,dWAR,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,Salary,Prev_Salary,is_rookie
56,김상현,,LG,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1800.0,1800.0,X
57,김상훈,X,KIA,2001,1977.0,24.0,C,-0.18,127.0,-0.28,0.1,437.0,429.0,396.0,45.0,103.0,10.0,1.0,6.0,133.0,41.0,0.0,4.0,27.0,3.0,0.0,73.0,12.0,8.0,3.0,0.26,0.31,0.336,0.646,-0.128,65.8,4800.0,2400.0,X
58,김성균,X,DOOSAN,2001,1976.0,25.0,2B,-0.22,11.0,-0.24,0.02,8.0,8.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.371,-176.5,2000.0,1700.0,X
59,김성태,,HYUNDAI,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1700.0,,O
60,김수경,,HYUNDAI,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11500.0,12700.0,X
61,김수관,X,SAMSUNG,2001,1975.0,26.0,2B,0.01,41.0,0.04,-0.03,37.0,35.0,32.0,4.0,8.0,2.0,0.0,0.0,10.0,1.0,1.0,0.0,3.0,0.0,0.0,4.0,1.0,2.0,0.0,0.25,0.314,0.313,0.627,-0.048,71.8,3000.0,2400.0,X
62,김수연,X,HANWHA,2001,1977.0,24.0,LF,1.28,129.0,1.36,-0.07,446.0,441.0,392.0,65.0,114.0,10.0,3.0,0.0,130.0,20.0,42.0,16.0,47.0,2.0,1.0,67.0,3.0,4.0,1.0,0.291,0.369,0.332,0.701,-0.014,95.7,4000.0,2000.0,X
63,김승관,X,SAMSUNG,2001,1976.0,25.0,1B,-0.14,7.0,-0.17,0.03,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.343,-155.3,2000.0,1900.0,X
64,김승권,X,SAMSUNG,2001,1976.0,25.0,IF,-0.52,78.0,0.29,-0.81,148.0,142.0,136.0,22.0,37.0,8.0,0.0,6.0,63.0,22.0,0.0,0.0,3.0,2.0,0.0,31.0,7.0,6.0,1.0,0.272,0.296,0.463,0.759,-0.383,83.1,4000.0,2500.0,X
65,김영수,,LOTTE,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4300.0,4200.0,X
66,김영진,X,HANWHA,2001,1972.0,29.0,C,0.07,7.0,0.03,0.04,14.0,14.0,11.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.182,0.357,0.182,0.539,-0.054,65.5,,,
67,김원섭,X,DOOSAN,2001,1978.0,23.0,LF,-0.33,38.0,-0.16,-0.17,42.0,40.0,35.0,12.0,6.0,1.0,0.0,0.0,7.0,2.0,3.0,0.0,5.0,0.0,0.0,7.0,2.0,2.0,0.0,0.171,0.275,0.2,0.475,-0.111,25.4,,,
68,김원형,,SK/SSG,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12000.0,8000.0,X
